2025 Federal Election House of Representatives Distribution of Preferences By Division [Event:31496 Phase:FinalResults Generated:2025-06-16T10:39:02 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,CountNumber,BallotPosition,CandidateID,Surname,GivenNm,PartyAb,PartyNm,Elected,HistoricElected,CalculationType,CalculationValue
ACT,101,Canberra,2,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Count,0
ACT,101,Canberra,2,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Percent,0
ACT,101,Canberra,2,3,41696,MILES,Claire,IND,Independent,N,N,Preference Count,11136
ACT,101,Canberra,2,3,41696,MILES,Claire,IND,Independent,N,N,Preference Percent,11.92
ACT,101,Canberra,2,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Count,421
ACT,101,Canberra,2,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Percent,31.05
ACT,101,Canberra,2,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Count,17610
ACT,101,Canberra,2,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Percent,18.85
ACT,101,Canberra,2,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Count,134
ACT,101,Canberra,2,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Percent,9.88
ACT,101,Canberra,2,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,45548
ACT,101,Canberra,2,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,48.76
ACT,101,Canberra,2,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,324
ACT,101,Canberra,2,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,23.89
ACT,101,Canberra,2,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Count,0
ACT,101,Canberra,2,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Percent,0
ACT,101,Canberra,2,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Count,-1356
ACT,101,Canberra,2,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Percent,-100
ACT,101,Canberra,3,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Count,23044
ACT,101,Canberra,3,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Percent,24.67
ACT,101,Canberra,3,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Count,3933
ACT,101,Canberra,3,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Percent,35.32
ACT,101,Canberra,3,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Count,0
ACT,101,Canberra,3,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Percent,0
ACT,101,Canberra,3,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Count,0
ACT,101,Canberra,3,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Percent,0
ACT,101,Canberra,3,3,41696,MILES,Claire,IND,Independent,N,N,Preference Count,0
ACT,101,Canberra,3,3,41696,MILES,Claire,IND,Independent,N,N,Preference Percent,0
ACT,101,Canberra,3,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Count,-11136
ACT,101,Canberra,3,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Percent,-100
ACT,101,Canberra,3,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Count,20325
ACT,101,Canberra,3,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Percent,21.76
ACT,101,Canberra,3,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Count,2715
ACT,101,Canberra,3,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Percent,24.38
ACT,101,Canberra,3,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,50036
ACT,101,Canberra,3,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,53.57
ACT,101,Canberra,3,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,4488
ACT,101,Canberra,3,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,40.3
ACT,101,Canberra,3,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Count,0
ACT,101,Canberra,3,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Percent,0
ACT,101,Canberra,3,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Count,0
ACT,101,Canberra,3,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Percent,0
ACT,101,Canberra,4,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Count,28469
ACT,101,Canberra,4,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Preference Percent,30.48
ACT,101,Canberra,4,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Count,5425
ACT,101,Canberra,4,1,41390,MUDFORD,Isabel,GRN,Australian Greens,N,N,Transfer Percent,26.69
ACT,101,Canberra,4,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Count,0
ACT,101,Canberra,4,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Preference Percent,0
ACT,101,Canberra,4,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Count,0
ACT,101,Canberra,4,2,41742,LIDDICOAT,Mary-Jane,IMO,HEART Party,N,N,Transfer Percent,0
ACT,101,Canberra,4,3,41696,MILES,Claire,IND,Independent,N,N,Preference Count,0
ACT,101,Canberra,4,3,41696,MILES,Claire,IND,Independent,N,N,Preference Percent,0
ACT,101,Canberra,4,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Count,0
ACT,101,Canberra,4,3,41696,MILES,Claire,IND,Independent,N,N,Transfer Percent,0
ACT,101,Canberra,4,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Count,0
ACT,101,Canberra,4,4,41077,ROCHE,Will,LP,Liberal,N,N,Preference Percent,0
ACT,101,Canberra,4,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Count,-20325
ACT,101,Canberra,4,4,41077,ROCHE,Will,LP,Liberal,N,N,Transfer Percent,-100
ACT,101,Canberra,4,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Count,64936
ACT,101,Canberra,4,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Preference Percent,69.52
ACT,101,Canberra,4,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Count,14900
ACT,101,Canberra,4,5,40677,PAYNE,Alicia,ALP,Australian Labor Party,Y,Y,Transfer Percent,73.31
ACT,101,Canberra,4,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Count,0
ACT,101,Canberra,4,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Preference Percent,0
ACT,101,Canberra,4,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Count,0
ACT,101,Canberra,4,6,41706,McTAGGART,Teresa,AJP,AJP,N,N,Transfer Percent,0
ACT,102,Fenner,0,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Preference Count,20723
ACT,102,Fenner,0,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Preference Percent,21.94
ACT,102,Fenner,0,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Transfer Count,0
ACT,102,Fenner,0,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Transfer Percent,0
ACT,102,Fenner,0,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Preference Count,7426
ACT,102,Fenner,0,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Preference Percent,7.86
ACT,102,Fenner,0,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Transfer Count,0
ACT,102,Fenner,0,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Transfer Percent,0
ACT,102,Fenner,0,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Preference Count,50819
ACT,102,Fenner,0,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Preference Percent,53.8
ACT,102,Fenner,0,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Transfer Count,0
ACT,102,Fenner,0,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Transfer Percent,0
ACT,102,Fenner,0,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Preference Count,15492
ACT,102,Fenner,0,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Preference Percent,16.4
ACT,102,Fenner,0,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Transfer Count,0
ACT,102,Fenner,0,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Transfer Percent,0
ACT,102,Fenner,1,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Preference Count,24560
ACT,102,Fenner,1,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Preference Percent,26
ACT,102,Fenner,1,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Transfer Count,3837
ACT,102,Fenner,1,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Transfer Percent,51.67
ACT,102,Fenner,1,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Preference Count,0
ACT,102,Fenner,1,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Preference Percent,0
ACT,102,Fenner,1,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Transfer Count,-7426
ACT,102,Fenner,1,2,41713,KIKKERT,Elizabeth,FFPA,Family First,N,N,Transfer Percent,-100
ACT,102,Fenner,1,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Preference Count,53025
ACT,102,Fenner,1,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Preference Percent,56.13
ACT,102,Fenner,1,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Transfer Count,2206
ACT,102,Fenner,1,3,40678,LEIGH,Andrew,ALP,Australian Labor Party,Y,Y,Transfer Percent,29.71
ACT,102,Fenner,1,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Preference Count,16875
ACT,102,Fenner,1,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Preference Percent,17.86
ACT,102,Fenner,1,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Transfer Count,1383
ACT,102,Fenner,1,4,41398,HUNTERFORD,Dani,GRN,Australian Greens,N,N,Transfer Percent,18.62
ACT,102,Fenner,2,1,41079,OLATUNBOSUN,Bola,LP,Liberal,N,N,Preference Count,26372
